Dates	XOM	XOM_Position	INTC	INTC_Position
4/22/2015	87.46	156	32.7	200
4/21/2015	86.88	156	32.43	200
4/20/2015	87.24	156	32.73	200
4/17/2015	86.93	156	32.47	200
4/16/2015	87.73	156	32.87	200
4/15/2015	88.08	156	32.83	200
4/14/2015	86.63	156	31.49	200
4/13/2015	85.34	156	31.73	200
4/10/2015	85.56	156	31.93	200
4/9/2015	84.65	156	31.24	200
4/8/2015	84.06	156	31.31	200
4/7/2015	85.75	156	31.26	200
4/6/2015	85.13	156	31.04	200
4/2/2015	84.3	156	30.81	200
4/1/2015	84.46	156	30.81	200
3/31/2015	85	156	31.27	200
3/30/2015	85.63	156	31.46	200
3/27/2015	83.58	156	32	200
3/26/2015	84.32	156	30.08	200
3/25/2015	84.86	156	29.89	200
3/24/2015	84.52	156	30.79	200
3/23/2015	85.43	156	31.2	200
3/20/2015	84.54	156	31.31	200
3/19/2015	84.41	156	30.74	200
3/18/2015	86.07	156	30.89	200
3/17/2015	84.08	156	30.59	200
3/16/2015	84.76	156	30.83	200
3/13/2015	83.87	156	30.93	200
3/12/2015	84.22	156	30.8	200
3/11/2015	84.02	156	32.33	200
3/10/2015	84.26	156	31.7	200
3/9/2015	85.16	156	32.72	200
3/6/2015	85.63	156	33.19	200
3/5/2015	86.74	156	33.73	200
3/4/2015	87.18	156	34.12	200
3/3/2015	87.62	156	34.095	200
3/2/2015	88.04	156	34.06	200
2/27/2015	88.54	156	33.25	200
2/26/2015	88.65	156	33.65	200
2/25/2015	89.6	156	33.945	200
2/24/2015	89.42	156	34.41	200
2/23/2015	89.01	156	33.76	200
2/20/2015	89.92	156	34.41	200
2/19/2015	89.44	156	34.21	200
2/18/2015	91.01	156	34.265	200
2/17/2015	93.05	156	34.735	200
2/13/2015	93.37	156	34.36	200
2/12/2015	92.37	156	34.125	200
2/11/2015	90.6	156	33.55	200
2/10/2015	91.01	156	33.7	200
2/9/2015	91.56	156	32.93	200
2/6/2015	91.5	156	33.295	200
2/5/2015	92.36	156	33.94	200
2/4/2015	91.46	156	33.6	200
2/3/2015	92.25	156	33.7	200
2/2/2015	89.58	156	33.65	200
1/30/2015	87.42	156	33.04	200
1/29/2015	87.58	156	34.21	200
1/28/2015	87.95	156	33.775	200
1/27/2015	90.95	156	34.185	200
1/26/2015	91.76	156	35.805	200
1/23/2015	90.89	156	36.445	200
1/22/2015	92.87	156	36.91	200
1/21/2015	91.87	156	36.48	200
1/20/2015	91.09	156	36.09	200
1/16/2015	91.12	156	36.45	200
1/15/2015	88.96	156	36.19	200
1/14/2015	89.74	156	36.35	200
1/13/2015	90	156	36.5	200
1/12/2015	90.33	156	36.6	200
1/9/2015	92.1	156	36.76	200
1/8/2015	92.23	156	36.69	200
1/7/2015	90.72	156	36.02	200
1/6/2015	89.81	156	35.28	200
1/5/2015	90.29	156	35.95	200
1/2/2015	92.83	156	36.36	200
12/31/2014	92.45	156	36.29	200
12/30/2014	93.02	156	36.76	200
12/29/2014	93.07	156	37.18	200
12/26/2014	93.21	156	37.55	200
12/24/2014	93.78	156	37.44	200
12/23/2014	94.59	156	37.43	200
12/22/2014	93.33	156	37.21	200
12/19/2014	93.64	156	36.37	200
12/18/2014	91.16	156	37.02	200
12/17/2014	89.02	156	36.24	200
12/16/2014	86.41	156	35.56	200
12/15/2014	86.9	156	35.92	200
12/12/2014	86.6	156	36.225	200
12/11/2014	89.2	156	36.7	200
12/10/2014	88.67	156	36.42	200
12/9/2014	91.38	156	36.89	200
12/8/2014	91.7	156	37.2	200
12/5/2014	93.82	156	37.67	200
12/4/2014	94.37	156	37.46	200
12/3/2014	94.95	156	37.43	200
12/2/2014	94.19	156	37.6	200
12/1/2014	92.35	156	37.17	200
11/28/2014	90.54	156	37.25	200
11/26/2014	94.48	156	36.9	200
11/25/2014	94.78	156	36.32	200
11/24/2014	95.72	156	36.25	200
11/21/2014	96.81	156	35.59	200
11/20/2014	95.82	156	35.95	200
11/19/2014	95.61	156	34.35	200
11/18/2014	94.87	156	34.71	200
11/17/2014	95.11	156	34.24	200
11/14/2014	95.09	156	33.95	200
11/13/2014	94.66	156	33.68	200
11/12/2014	95.38	156	33.38	200
11/11/2014	96.41	156	33.31	200
11/10/2014	96.28	156	33.26	200
11/7/2014	96.59	156	33.58	200
11/6/2014	96.26	156	33.82	200
11/5/2014	95.07	156	33.76	200
11/4/2014	94.52	156	34.54	200
11/3/2014	95.26	156	34.31	200
10/31/2014	96.71	156	34.01	200
10/30/2014	94.45	156	32.58	200
10/29/2014	94.59	156	33.92	200
10/28/2014	95.1	156	33.74	200
10/27/2014	93.71	156	33.2	200
10/24/2014	94.49	156	33.18	200
10/23/2014	94.11	156	32.69	200
10/22/2014	93.13	156	32.27	200
10/21/2014	93.65	156	32.61	200
10/20/2014	91.77	156	31.58	200
10/17/2014	91.21	156	31.38	200
10/16/2014	90.6	156	30.85	200
10/15/2014	90.22	156	31.275	200
10/14/2014	90.55	156	32.14	200
10/13/2014	90.84	156	31.47	200
10/10/2014	91.6	156	31.91	200
10/9/2014	91.82	156	33.62	200
10/8/2014	94.61	156	34.27	200
10/7/2014	93.37	156	33.47	200
10/6/2014	94.52	156	34.11	200
10/3/2014	93.92	156	34.03	200
10/2/2014	93.3	156	33.52	200
10/1/2014	92.86	156	33.99	200
9/30/2014	94.05	156	34.82	200
9/29/2014	94.43	156	34.9	200
9/26/2014	95.43	156	34.26	200
9/25/2014	94.25	156	34.14	200
9/24/2014	95.82	156	34.75	200
9/23/2014	96.03	156	34.42	200
9/22/2014	96.54	156	34.71	200
9/19/2014	97.12	156	34.82	200
9/18/2014	96.61	156	35.17	200
9/17/2014	97.08	156	34.98	200
9/16/2014	97.43	156	34.93	200
9/15/2014	96.29	156	34.54	200
9/12/2014	95.78	156	34.62	200
9/11/2014	97.03	156	35.02	200
9/10/2014	96.81	156	35.02	200
